"name","date","tas","pr"
"Har Sifsof",2020-03-15,285.5,1
"Har Sifsof",2020-03-16,286.4,0
"Har Sifsof",2020-03-17,283,25.5
"Har Sifsof",2020-03-18,280.7,7.8
"Har Sifsof",2020-03-19,280.3,14.5
"Har Sifsof",2020-03-20,278.6,20.8
"Har Sifsof",2020-03-21,279.3,5.4
"Har Sifsof",2020-03-22,281.5,0
"Har Sifsof",2020-03-23,285.2,0.1
"Har Sifsof",2020-03-24,286.3,0
"Har Sifsof",2020-03-25,285,0.1
"Har Sifsof",2020-03-26,287.1,1
"Har Sifsof",2020-03-27,288.9,0.9
"Har Sifsof",2020-03-28,285.2,6.8
"Har Sifsof",2020-03-29,285.3,2.5
"Har Sifsof",2020-03-30,286.7,1.2
"Har Sifsof",2020-03-31,288.8,0.2
"Har Sifsof",2020-04-01,285.2,8.4
"Har Sifsof",2020-04-02,284.5,0.6
"Har Sifsof",2020-04-03,285.4,0
"Har Sifsof",2020-04-04,289.2,0
"Har Sifsof",2020-04-05,292,NA
"Har Sifsof",2020-04-06,287.2,0.1
"Har Sifsof",2020-04-07,285.2,0.4
"Har Sifsof",2020-04-08,283.6,0.2
"Har Sifsof",2020-04-09,283.4,2
"Har Sifsof",2020-04-10,282.9,11
"Har Sifsof",2020-04-11,284.1,4.5
"Har Sifsof",2020-04-12,285.3,0.1
"Har Sifsof",2020-04-13,286.5,0
"Har Sifsof",2020-04-14,288.8,0
"Har Sifsof",2020-04-15,288.5,0.1
"Har Sifsof",2020-04-16,288.6,2.1
"Har Sifsof",2020-04-17,286.8,4
"Har Sifsof",2020-04-18,289.6,0
"Har Sifsof",2020-04-19,291.2,0
"Har Sifsof",2020-04-20,292.1,0
"Har Sifsof",2020-04-21,291.8,0
"Har Sifsof",2020-04-22,292.1,0
"Har Sifsof",2020-04-23,288.8,0
"Har Sifsof",2020-04-24,289.7,0.1
"Har Sifsof",2020-04-25,286.1,9.5
"Har Sifsof",2020-04-26,285.6,1.5
"Har Sifsof",2020-04-27,286.1,0
"Har Sifsof",2020-04-28,287.9,0
"Har Sifsof",2020-04-29,287.8,0.7
"Har Sifsof",2020-04-30,288.6,0
"Har Sifsof",2020-05-01,288,0
"Har Sifsof",2020-05-02,287.6,NA
"Har Sifsof",2020-05-03,288.9,0
"Har Sifsof",2020-05-04,288.8,0
"Har Sifsof",2020-05-05,286.3,14.5
"Har Sifsof",2020-05-06,287.6,6.8
"Har Sifsof",2020-05-07,289.5,0
"Har Sifsof",2020-05-08,292.7,0
"Har Sifsof",2020-05-09,289.5,4.6
"Har Sifsof",2020-05-10,289.2,0.2
"Har Sifsof",2020-05-11,291.2,0
"Har Sifsof",2020-05-12,292.8,0
"Har Sifsof",2020-05-13,294.4,0
"Har Sifsof",2020-05-14,295,0
"Har Sifsof",2020-05-15,296.5,0
"Har Sifsof",2020-05-16,297.5,0
"Har Sifsof",2020-05-17,298.3,0
